asm_path,asm_name,n_macro,n_update,n_forall,n_branch,n_rule,approach,status,exec_time_ms,n_scenarios,n_step,n_set,n_check,macro_coverage,update_rule_coverage,forall_rule_coverage,branch_coverage,rule_coverage,n_failing_scenarios,n_val_error_scenarios,casemutator_score,chooserulemutator_score,condnegator_score,condremover_score,forallmutator_score,partoseqmutator_score,seqtoparmutator_score,ruleremover_score
../../../asm_examples/examples/traffic_light/oneWayTrafficLight_refined_with_agents_problem.asm,oneWayTrafficLight_refined_with_agents_problem,13,8,1,11,50,random,NO_VALID_SCENARIOS,9.0,6,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/landingGearSystem/LGS_HM.asm,LGS_HM,5,46,0,18,86,random,OK,69.0,10,100,402,859,1.0,0.32608697,NaN,0.5555556,0.44186047,0,0,0.23529412,NaN,0.7222222,0.6666667,NaN,0.05882353,NaN,0.32967034
../../../asm_examples/PillBox/Level2/pillbox_2_elia.asm,pillbox_2_elia,7,31,1,20,66,random,NO_VALID_SCENARIOS,5.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/stereoacuity/certifierRaff5.asm,certifierRaff5,14,20,0,11,53,random,OK,6.0,10,100,41,491,0.9285714,0.7,NaN,0.72727275,0.8301887,0,0,NaN,NaN,0.90909094,0.72727275,NaN,0.0,NaN,0.78846157
../../../asm_examples/examples/simple_example/MorraCinese/MorraCinese_raff1.asm,MorraCinese_raff1,1,6,0,1,10,random,OK,9.0,10,100,100,392,1.0,1.0,NaN,0.5,1.0,0,0,1.0,1.0,NaN,NaN,NaN,0.0,NaN,1.0
../../../asm_examples/examples/landingGearSystem/LGS_3L.asm,LGS_3L,4,38,0,9,66,random,OK,36.0,10,100,147,436,1.0,0.34210527,NaN,0.44444445,0.4090909,0,0,0.29411766,NaN,0.6666667,0.5833333,NaN,0.0,NaN,0.3802817
../../../asm_examples/examples/agents/FileSystem.asm,FileSystem,3,4,1,3,10,random,NO_VALID_SCENARIOS,9.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/trafficLightCoSim/trafficlightA.asm,trafficlightA,2,5,0,6,14,random,OK,4.0,10,100,134,100,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.0,NaN,1.0
../../../asm_examples/examples/NeedhamSchroeder/NeedhamSchroeder.asm,NeedhamSchroeder,8,16,1,8,56,random,NO_VALID_SCENARIOS,282.0,0,0,0,0,null,null,null,null,null,0,0,null,null,null,null,null,null,null,null
../../../asm_examples/examples/simple_example/fattoriale.asm,fattoriale,2,6,0,3,13,random,OK,5.0,10,100,20,280,1.0,1.0,NaN,1.0,1.0,0,0,NaN,NaN,1.0,1.0,NaN,0.0,1.0,1.0
